Name,FullAddress,Website,Email,Telefonnummer,Produktkategorien
HanseYachts AG,"Ladebower Chaussee 11, 17493.0 Greifswald, DE",https://hanseyachts.com/de/,,,Werften;Service/Repair;Kran
Bootsservice Zengerle,"Eichendorffstraße 27, 89568.0 Hermaringen, DE",https://www.bootsservice-zengerle.de/,hzengerle@bootsservice-zengerle.de,+49 7322 9111435,Werften
Bootservice Rohde,"Am Havelufer 4, 16761.0 Hennigsdorf, DE",https://www.bootsservice-rohde.de/,,,Tauwerk;Beschläge;Bootszubehör
bootsprodukte,"Nordstraße 44, 53879.0 Euskirchen, DE",https://www.bootsprodukte.com/,info@schorni-reiniger.de,+49 2235 6853510,Tauwerk;Beschläge;Bootszubehör
Beilken Sails,", , DE",https://beilken.de,,,Segelmacher
patcool Faltboote,", , DE",https://www.patcool.de/,,+491732439298,Tauwerk;Beschläge;Bootszubehör
Die Bootswerft,"Am Wasserwerk 6, 31558.0 Hagenburg, DE",http://www.diebootswerft.de/cms/index.php,,+49 151 52548885,Werften;Service/Repair;Kran
Segelmacherei Marcel Quast,"Zeissweg 1, 59519.0 Möhnesee, DE",http://www.quastsegel.de/,,,Segelmacher
MB-Guiding,"Hafenpromenade 1, 24376.0 Kappeln, DE",https://mbguiding.de/,,+49 157 52614290,Tauwerk;Beschläge;Bootszubehör
Vinzenz,", , DE",http://www.vinzenz-boote.de/,,,Tauwerk;Beschläge;Bootszubehör
Boot & Service B.Heuckeroth,"Lauterstraße 2, 72622.0 Nürtingen, DE",http://www.bscenter.de,,,Tauwerk;Beschläge;Bootszubehör
Odin Yachten GMBH Lamprecht,", , DE",http://www.lamprecht-heimdecor.de/,info@odin-yacht.de,+49 9831 36 35,Tauwerk;Beschläge;Bootszubehör
Bootsmann Baum,"Lehbek 31, 24395.0 Gelting, DE",http://www.bootsmann-baum.de,info@bootsmann-baum.de,+49 4643 2480,Motor;Tauwerk;Beschläge;Bootszubehör
Topcat,", , DE",https://topcat.de/de/ueber-topcat,,+49 8143 996 96 20,Werften;Service/Repair;Kran
Yachtelektronik Kruse,"Cuxhavener Straße 298, 21149.0 Hamburg, DE",https://yachtelektronik-kruse.de/,info@yachtelektronik-kruse.de,+49 40 696329310,Elektrik/Elektronik;Tauwerk;Beschläge;Bootszubehör
Kanu Kini,"Weidachstraße 71, 87629.0 Füssen, DE",https://www.kanu-kini.de/,,+49 8362 9396969,Tauwerk;Beschläge;Bootszubehör
Segeln & Mehr,"Landsberger Straße 3, 86938.0 Schondorf am Ammersee, DE",https://segeln-mehr-ludwig-braun.business.site,,+49 8192 9985590,Tauwerk;Beschläge;Bootszubehör
MaRe Boote,", , DE",https://www.mare-boote.de/,info@mare-boote.de,+49 2389 9612004,Tauwerk;Beschläge;Bootszubehör
Wasserstoff,"Badenstraße 24/25, 18439.0 Stralsund, DE",http://www.deinwasserstoff.de,,,Segelmacher
Kuhnle Werft,"Hafendorf Müritz , 17248.0 Rechlin, DE",https://www.kuhnle-werft.de,,+49398232660,Werften;Service/Repair;Kran
Bootsimport Tibus,"Industriestraße 8A, 37434.0 Rhumspringe, DE",https://www.tibus-boote.de/,,,Tauwerk;Beschläge;Bootszubehör
Werner Kahl - Die Ruderwerkstatt GmbH,", , DE",http://www.ruderwerkstatt.eu/,,+49644177777,Tauwerk;Beschläge;Bootszubehör
correct-motors,"Altenhofer Dorfstraße 18, 16244.0 Schorfheide, DE",https://www.correct-motors.de,,+49 33363 46666,Motor;Tauwerk;Beschläge;Bootszubehör
Segelschule Greubel / Basis 2,"Seespitz 4, 91720.0 Absberg, DE",https://greubel.de/,,,Tauwerk;Beschläge;Bootszubehör
Die Segelstecherei by neoSails,"Wiederitzscher Straße 19b, 4519.0 Rackwitz, DE",http://www.neosails.de/,kontakt@die-segelstecherei.de,+49 173 4819268,Segelmacher
Janssen-Maritimes,"Kleiner Westring 15, , DE",https://www.janssen-maritimes.de/,,,Tauwerk;Beschläge;Bootszubehör
Eider Marin,"Am Audorfer See , 24782.0 Büdelsdorf, DE",https://www.eidermarin.de/,eidermarin@t-online.de,+49 172 8486834,Tauwerk;Beschläge;Bootszubehör
Segelzentrum Kagerer GmbH,"Nordring 2b, 91785.0 Pleinfeld, DE",https://szk.de/kontakt/,info@szk.de,+49 9144 92 72 17,Tauwerk;Beschläge;Bootszubehör
Oeverdiek & Heinritz,", , DE",https://www.oundh.de/,,,Tauwerk;Beschläge;Bootszubehör
TKMS,"Werftstraße 112-114, 24143.0 Kiel, DE",https://www.tkmsgroup.com/de/,,+49 431 7000,Werften;Service/Repair;Kran
TTT Boote,"Agnes-Bluhm-Straße 32, 18442.0 Wendorf, DE",https://ttt-stralsund.de/,,,Tauwerk;Beschläge;Bootszubehör
Ruderschule Seenplatte GbR,", , DE",https://ruderschule-seenplatte.de,,,Tauwerk;Beschläge;Bootszubehör
Bootswerft Christopher Funger,", , DE",https://bootswerft-funger.de,bootswerftfunger@t-online.de,+49 2152 559940,Werften
Hausbootmanufaktur und Gebrauchtboothafen,"Dorfstraße 62a, 14797.0 Kloster Lehnin, DE",http://www.gebrauchtbootcenter.com/,bootshafen@freenet.de,+49 3382 741951,Motor;Tauwerk;Beschläge;Bootszubehör
Yacht-Center Mannheim,", , DE",http://www.yacht-center.de,info@yacht-center.de,+49 621 3380031,Motor;Tauwerk;Beschläge;Bootszubehör
Segelbedarf u. Bootszubehör Marina Dellas,"Weskampstraße 10, 26121.0 Oldenburg, DE",https://www.dellas.de,jd@dellas.de,+49 441 3617232,Tauwerk;Beschläge;Bootszubehör
Der kleine Bootladen,", , DE",https://derkleinebootsladen.de/,info@derkleinebootsladen.de,+49 30 6432 6415,Tauwerk;Beschläge;Bootszubehör
Turtlesails,", , DE",http://www.turtlesails.de/,,+49 331 6012254,Segelmacher
Lenz Rega-Port,"Holzstraße 8, 40221.0 Düsseldorf, DE",https://www.lenz-rega-port.de/,info@lenz-rega-port.de,+49 211 306371,Tauwerk;Beschläge;Bootszubehör
Megalodon Boote / Bootsscheune,"Germendorfer Dorfstraße 48, 16515.0 Oranienburg, DE",http://arbeits-boote.de/,megalodonboats@aol.com,+49 173 9987780,Tauwerk;Beschläge;Bootszubehör
Schreinerei Helmut Fischer,"Am Moosfeld 23, , DE",https://www.woodensailboat.de/,,+49 172 8558100,Werften
Knief-Bootswerft,"Hafenbezirk 28, 21079.0 Hamburg, DE",https://www.bootswerft-peterknief.de/,Peter.Knief@hamburg.de,+49 40 7652949,Werften;Service/Repair;Kran
UrbanIndian,"Wilhelminenhofstraße 92, 12459.0 Berlin, DE",https://urbanindian.org,,+49 1578 6079058,Werften
SAILART Segelboote GmbH,"Siemensstraße 8a, 50374.0 Erftstadt, DE",https://www.sailart.de,info@sailart.de,+49 2235 463252,Werften
Skipper Udo,", , DE",https://www.skipper-udo.de,,,Tauwerk;Beschläge;Bootszubehör
Yachtwerft Schloss Kirchberg,", , DE",https://www.sunwind.ch/werftbetrieb-schloss-kirchberg,,+49 7545 6414,Werften;Service/Repair;Kran
boot-workshop GmbH,"Fährstraße 1, 17449.0 Peenemünde, DE",https://www.boot-workshop.de/startseite.html,info@boot-workshop.de,+49 38371 25659,Werften
Rollyboot Hohenwarte,"Zeltplatz Hopfenmühle 44, 7338.0 Drognitz, DE",https://www.rollyboot-hohenwarte.de/,info@rollyboot-hohenwarte.de,+49 1515 4729554,Tauwerk;Beschläge;Bootszubehör
Die Bootsmakler,"Moritzburger Straße 21, 1640.0 Coswig, DE",https://www.die-bootsmakler.de/,,,Tauwerk;Beschläge;Bootszubehör
Maritimer Service Greifswald,", , DE",https://www.ms-greifswald.de/,,,Werften;Service/Repair;Kran
Holzbootwerkstatt,", , DE",https://www.schoene-boote.de/,,,Werften;Service/Repair;Kran
Yacht- & Antriebstechnik GmbH,", , DE",https://yacht-antrieb-technik.de,info@yacht-antrieb-technik.de,+4975518053090,Werften;Service/Repair;Kran
Yachtwerft Landolt,", , DE",https://www.yachtwerft-landolt.de,anfrage@yachtwerft-landolt.de,+49 7544 2235,Werften;Service/Repair;Kran
Rimmele Rigg Service,", , DE",https://www.rimmele-rigg-service.de,mail@rrs-masten.de,+49 7541 406 883 1,Werften;Service/Repair;Kran
Speedwave,", , DE",https://speedwave.de,,,Werften;Service/Repair;Kran
Meer-Seen,", , DE",https://meer-seen.de/,shop@meer-seen.de,+49 30 6570 9288,Tauwerk;Beschläge;Bootszubehör
Lorsby Boote,", , DE",https://www.lorsby.de/,,,Tauwerk;Beschläge;Bootszubehör
Segelmanufactur,"Prinz-Eugen-Straße 90, 88069.0 Tettnang, DE",https://www.segelmanufactur.de/,info@segelmanufactur.de,+49 7542 9333966,Motor;Segelmacher
Plan & Tat Bootsbau,"Prinz-Eugen-Straße 90, 88069.0 Tettnang, DE",https://metallboot.de/,kontakt@metallboot.de,+49 7542 9469282,Werften
Bosche Schiffsbedarf,", , DE",https://bosche-schiffsbedarf.de/,,+49 621 22250,Tauwerk;Beschläge;Bootszubehör
Siwa-Marinetechnik,"24, 71332.0 Waiblingen, DE",https://www.siwa-marinetechnik.de,info@siwa-marinetechnik.de,+49 7151 98 27 45,Tauwerk;Beschläge;Bootszubehör
Merlin Bootsbau & Winterlager,"Gut Hollern 1, 85386.0 Eching, DE",https://bootsbau-merlin.de/,,+49 89 262036620,Werften
Bredo Dry Docks - Betrieb Mützelfeldtwerft,"Woltmannstraße 2, 27472.0 Cuxhaven, DE",https://www.bredo.de/,mfw@bredo.de,+49 4721 60120,Werften;Service/Repair;Kran
VOGT - Yacht- und Bootsservice,"Bundesstraße 3, 24376.0 Kappeln, DE",https://www.vogt-kappeln.de/,info@vogt-kappeln.de,+49 4642 4617,Tauwerk;Beschläge;Bootszubehör
Kwerni Bootsservice & Bootsverleih,"Dillmannshof 16, 88097.0 Eriskirch, DE",https://www.kwernibootsservice.de/,Info@kwernibootsservice.de,+49 172 8564699,Werften;Service/Repair;Kran;Tauwerk;Beschläge;Bootszubehör
Kapprodd Stockholm,"Mengendamm 6, , DE",https://www.kapprodd.com,,,Werften
Motor-Wasser-Sport Detlef Kringel,", , DE",https://www.motor-wassersport.de/,,+49 35478 337,Motor;Tauwerk;Beschläge;Bootszubehör
Manns Wassersport,"Benrather Straße / Eingang Hohe Straße 7b, 40213.0 Düsseldorf, DE",https://www.manns-wassersport.de/,info@manns-wassersport.de,+49 211 133811,Motor;Tauwerk;Beschläge;Bootszubehör
Bootsbau Schubert,"Büdnerecke 2, 19086.0 Plate, DE",https://www.bootsbau-schubert.de/,,+49 3861 2155,Werften
Bootsservice Mayer (Werkstatt),", , DE",https://bootsservicemayer.de/,,,Werften;Service/Repair;Kran
Blohm + Voss,", , DE",http://www.blohmvoss.com/,,,Werften;Service/Repair;Kran
FSG Shipyard,", , DE",https://www.fsg-ship.de/,,,Werften;Service/Repair;Kran
Balticat Werft,"Strandweg 124, 24399.0 Arnis, DE",https://www.balticat.de/,,,Werften;Service/Repair;Kran
Schiffswerft Karcher,"Werftstraße 1, 77866.0 Rheinau, DE",https://schiffswerft-karcher.com/,info@schiffswerft-karcher.com,+49 7844 1250,Werften;Service/Repair;Kran
Wegener Yachtwerft,"Deichstraße 23-27, 22880.0 Wedel, DE",https://wegenerjachtwerft.de/,,+49 4103 3344,Werften;Service/Repair;Kran
Yachtprofi,"Deichstraße 1, 22880.0 Wedel, DE",https://yachtprofi.de/,,+49 4103 88492,Tauwerk;Beschläge;Bootszubehör
Bootswerft Wendisch,"Mühlendamm 8a, 15754.0 Heidesee, DE",https://www.bootswerft-wendisch.de/,info@bootswerft-wendisch.de,+49 33768 50256,Werften;Service/Repair;Kran
Marine Olbermann,"Bayenstraße 67-69, 50678.0 Köln, DE",https://olbermann.de/,,+49 221 9318180,Motor;Tauwerk;Beschläge;Bootszubehör
